Date,Time,Open,High,Low,Close,Volume
2024.02.01,18:30,17186.93,17239.21,17186.31,17228.84,6468
2024.02.01,19:00,17229.21,17294.29,17226.84,17248.77,6056
2024.02.01,19:30,17248.4,17316.39,17239.89,17287.35,6157
2024.02.01,20:00,17287.97,17289.72,17233.68,17276.91,6898
2024.02.01,20:30,17276.9,17304.57,17244.55,17277.08,7686
2024.02.01,21:00,17277.7,17314.54,17277.21,17298.85,5923
2024.02.01,21:30,17299.47,17339.77,17284.95,17335.87,5137
2024.02.01,22:00,17336.24,17352.97,17321.69,17341.73,4256
2024.02.01,22:30,17342.23,17357.04,17308.94,17344.8,4713
2024.02.01,23:00,17343.55,17486.75,17321.2,17485.63,4385
2024.02.01,23:30,17488.11,17548.49,17458.2,17532.12,3362
2024.02.02,1:00,17489.81,17510.66,17483.97,17495.2,1616
2024.02.02,1:30,17495.45,17504.79,17488.63,17497.87,961
2024.02.02,2:00,17497.25,17498.86,17485.24,17494.08,975
2024.02.02,2:30,17493.95,17505.68,17492.59,17505.68,721
2024.02.02,3:00,17506.05,17522.87,17502.09,17517.78,1023
2024.02.02,3:30,17517.66,17534.18,17516.54,17525.04,1039
2024.02.02,4:00,17525.29,17528.04,17509.19,17514.18,944
2024.02.02,4:30,17514.8,17524.56,17513.2,17523.33,688
2024.02.02,5:00,17524.07,17525.94,17513.2,17513.45,745
2024.02.02,5:30,17513.21,17515.82,17506.39,17507.31,688
2024.02.02,6:00,17507.06,17515.68,17504.45,17514.81,650
2024.02.02,6:30,17514.56,17516.93,17506.17,17511.64,517
2024.02.02,7:00,17511.4,17523,17507.93,17522.88,799
2024.02.02,7:30,17523,17523.37,17512.8,17515.79,714
2024.02.02,8:00,17516.04,17516.41,17498.7,17510.51,991
2024.02.02,8:30,17510.38,17517.37,17508.32,17512.39,966
2024.02.02,9:00,17512.14,17512.14,17497.79,17504.42,986
2024.02.02,9:30,17504.05,17508.9,17494.83,17499.95,984
2024.02.02,10:00,17500.07,17509.51,17484.58,17504.3,1470
2024.02.02,10:30,17503.68,17532.24,17499.46,17521.33,1220
2024.02.02,11:00,17522.08,17540.72,17514.31,17518.65,1486
2024.02.02,11:30,17518.78,17521.14,17505.03,17517.23,1159
2024.02.02,12:00,17517.73,17524.99,17504.46,17524.86,1071
2024.02.02,12:30,17524.61,17532.57,17513.12,17513.87,1069
2024.02.02,13:00,17514.49,17521.86,17506.92,17519.14,1014
2024.02.02,13:30,17519.39,17524.67,17516.32,17524.05,960
2024.02.02,14:00,17524.67,17548.39,17509.29,17543.18,1191
2024.02.02,14:30,17542.93,17544.67,17523.61,17529.34,1325
2024.02.02,15:00,17529.21,17539.78,17509.89,17511.77,1559
2024.02.02,15:30,17511.77,17511.77,17389.31,17401.86,5145
2024.02.02,16:00,17402.48,17425.22,17389.49,17413.64,2674
